               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.034666,            0.039446,           0.0084311,             0.93742,             0.95155,             0.97064,             0.62982,             0.03163,            0.007733,            0.004946,            0.006172,            0.006172,            0.006172
                  60,            0.034669,             0.03961,           0.0084452,             0.93774,              0.9581,             0.97026,             0.62963,            0.031706,            0.007827,           0.0049766,            0.006106,            0.006106,            0.006106
                  61,            0.034667,            0.039606,            0.008456,             0.94438,             0.96089,             0.97224,             0.63273,            0.031979,            0.007732,           0.0050127,             0.00604,             0.00604,             0.00604
                  62,            0.034578,            0.039635,            0.008319,             0.93957,             0.95743,             0.97321,             0.62995,            0.031972,            0.007829,           0.0050455,            0.005974,            0.005974,            0.005974
                  63,            0.034418,            0.039547,           0.0082537,             0.94452,             0.95072,             0.96767,             0.62891,            0.031746,           0.0077273,           0.0049865,            0.005908,            0.005908,            0.005908
                  64,            0.034384,            0.039397,           0.0082616,             0.94439,             0.96545,             0.97531,              0.6342,            0.031576,           0.0077091,            0.004874,            0.005842,            0.005842,            0.005842
                  65,             0.03434,            0.039243,           0.0082096,             0.94853,             0.95781,             0.97134,             0.63061,            0.031547,           0.0077435,           0.0050104,            0.005776,            0.005776,            0.005776
                  66,            0.034221,            0.039284,           0.0082971,             0.94349,             0.95705,             0.97525,             0.63831,            0.031276,            0.007738,           0.0049039,             0.00571,             0.00571,             0.00571
                  67,            0.034028,            0.038987,           0.0082893,             0.93796,             0.95812,             0.96978,             0.63219,            0.031404,           0.0077558,            0.004844,            0.005644,            0.005644,            0.005644
                  68,             0.03402,            0.038599,           0.0082035,             0.94453,             0.96098,             0.97214,             0.63601,            0.031493,           0.0077108,           0.0049453,            0.005578,            0.005578,            0.005578
                  69,            0.033825,            0.038769,           0.0082381,             0.94595,             0.95798,             0.97417,             0.63542,            0.031203,           0.0076831,           0.0047735,            0.005512,            0.005512,            0.005512
                  70,            0.034007,            0.039059,           0.0081775,             0.93715,             0.94969,             0.96857,             0.62984,             0.03158,           0.0077964,           0.0048995,            0.005446,            0.005446,            0.005446
                  71,             0.03384,            0.038972,           0.0081119,             0.94285,             0.96126,             0.97272,             0.63538,            0.031268,           0.0077057,           0.0049416,             0.00538,             0.00538,             0.00538
                  72,            0.033816,            0.038425,           0.0081361,             0.94107,             0.95094,             0.97104,             0.63993,            0.030962,            0.007652,           0.0049034,            0.005314,            0.005314,            0.005314
                  73,            0.033656,              0.0381,            0.008211,             0.94601,             0.95755,             0.96962,             0.63889,            0.031316,            0.007649,           0.0049854,            0.005248,            0.005248,            0.005248
                  74,            0.033762,            0.038634,           0.0081648,             0.94495,             0.96158,             0.97445,              0.6428,            0.031092,           0.0075782,           0.0049775,            0.005182,            0.005182,            0.005182
                  75,             0.03352,            0.037896,           0.0079798,             0.94137,             0.96278,             0.97419,             0.64115,            0.030984,           0.0075519,           0.0049421,            0.005116,            0.005116,            0.005116
                  76,             0.03365,            0.038509,           0.0080981,             0.94541,             0.96213,             0.97603,             0.64456,            0.030899,            0.007472,           0.0048631,             0.00505,             0.00505,             0.00505
                  77,            0.033414,            0.038089,            0.007988,             0.94386,             0.95802,             0.97244,             0.64349,            0.030725,           0.0075426,           0.0048772,            0.004984,            0.004984,            0.004984
                  78,            0.033268,            0.037858,           0.0080443,             0.94727,             0.96227,             0.97388,             0.64397,            0.030597,            0.007576,           0.0047947,            0.004918,            0.004918,            0.004918
                  79,            0.033275,              0.0375,           0.0081004,              0.9452,             0.96784,             0.97543,             0.64514,             0.03063,           0.0075713,           0.0047765,            0.004852,            0.004852,            0.004852
                  80,            0.033039,            0.037858,           0.0078629,             0.94055,             0.96645,             0.97512,             0.64549,            0.030579,            0.007623,           0.0048115,            0.004786,            0.004786,            0.004786
                  81,            0.032978,            0.037804,           0.0079475,             0.94101,             0.96343,             0.97568,             0.64651,            0.030752,           0.0075501,           0.0047577,             0.00472,             0.00472,             0.00472
                  82,             0.03307,             0.03787,           0.0079064,             0.94906,             0.96209,             0.97273,             0.64681,            0.030551,            0.007526,           0.0048037,            0.004654,            0.004654,            0.004654
                  83,            0.032932,            0.037738,           0.0079693,             0.94104,             0.96015,             0.97479,             0.64727,            0.030525,           0.0074888,            0.004718,            0.004588,            0.004588,            0.004588
                  84,            0.032872,            0.037786,           0.0079049,             0.95131,             0.96118,             0.97564,             0.64481,            0.030804,           0.0075499,           0.0048434,            0.004522,            0.004522,            0.004522
                  85,            0.032709,            0.037518,            0.008005,             0.94848,             0.96291,             0.97664,             0.64769,            0.030693,           0.0075236,           0.0048297,            0.004456,            0.004456,            0.004456
                  86,            0.032574,            0.037746,           0.0079328,             0.94667,             0.96252,             0.97592,             0.64567,            0.030584,           0.0075394,           0.0048354,             0.00439,             0.00439,             0.00439
                  87,            0.032775,            0.037667,           0.0079504,             0.94667,             0.96231,              0.9772,             0.64895,            0.030276,           0.0074829,           0.0048266,            0.004324,            0.004324,            0.004324
                  88,             0.03279,            0.037626,           0.0078986,             0.94736,             0.96327,             0.97715,             0.64986,            0.030176,           0.0074521,           0.0048245,            0.004258,            0.004258,            0.004258
                  89,            0.032418,            0.037385,           0.0078617,             0.94403,               0.962,             0.97351,             0.64903,            0.030272,           0.0074561,           0.0048179,            0.004192,            0.004192,            0.004192
                  90,            0.032351,            0.036769,           0.0078184,             0.94435,             0.96749,             0.97492,              0.6509,            0.030193,           0.0074239,           0.0048332,            0.004126,            0.004126,            0.004126
                  91,            0.032391,            0.037177,           0.0077875,             0.94309,              0.9696,             0.97656,             0.64954,            0.030268,           0.0074952,             0.00484,             0.00406,             0.00406,             0.00406
                  92,            0.032356,            0.036946,           0.0079092,             0.94816,              0.9664,             0.97565,             0.65393,            0.030169,           0.0074511,             0.00481,            0.003994,            0.003994,            0.003994
                  93,            0.032297,            0.037197,           0.0078211,             0.94792,             0.97037,             0.97446,              0.6488,            0.030179,           0.0074637,           0.0047618,            0.003928,            0.003928,            0.003928
